"code","region","name","type_1_departments_major_a_e_4","type_2_departments_single_specialty_5","type_3_departments_other_a_e_minor_injury_unit_6","total_attendances","type_1_departments_major_a_e_8","type_2_departments_single_specialty_9","type_3_departments_other_a_e_minor_injury_unit_10","total_attendances_4_hours","type_1_departments_major_a_e_12","type_2_departments_single_specialty_13","type_3_departments_other_a_e_minor_injury_unit_14","total_attendances_4_hours_2","percentage_in_4_hours_or_less_all","percentage_in_4_hours_or_less_type_1","percentage_in_4_hours_or_less_type_2","percentage_in_4_hours_or_less_type_3","emergency_admissions_via_type_1_a_e","emergency_admissions_via_type_2_a_e","emergency_admissions_via_type_3_and_4_a_e","total_emergency_admissions_via_a_e","other_emergency_admissions_i_e_not_via_a_e","total_emergency_admissions","number_of_patients_spending_4_hours_from_decision_to_admit_to_admission","number_of_patients_spending_12_hours_from_decision_to_admit_to_admission","x28","month"
"RQ8","NHS England East Of England","Mid Essex Hospital Services NHS Trust",8042,0,529,8571,6184,0,509,6693,1858,0,20,1878,0.780889044452223,0.768962944541159,NA,0.962192816635161,2440,0,0,2440,702,3142,290,2,"Mid and South Essex STP",2020-02-01
"RD8","NHS England East Of England","Milton Keynes University Hospital NHS Foundation Trust",7131,0,4609,11740,5796,0,4588,10384,1335,0,21,1356,0.884497444633731,0.812789230122003,NA,0.995443697114342,1620,0,0,1620,628,2248,202,0,"Bedfordshire, Luton and Milton Keynes STP",2020-02-01
"RM1","NHS England East Of England","Norfolk And Norwich University Hospitals NHS Foundation Trust",10057,0,1386,11443,6264,0,1379,7643,3793,0,7,3800,0.66791925194442,0.622849756388585,NA,0.994949494949495,2450,0,0,2450,1887,4337,1594,28,"Norfolk and Waveney Health & Care Partnership (STP)",2020-02-01
"RGN","NHS England East Of England","North West Anglia NHS Foundation Trust",12687,0,729,13416,8910,0,729,9639,3777,0,0,3777,0.718470483005367,0.702293686450698,NA,1,3435,0,0,3435,1664,5099,569,0,"Cambridgeshire and Peterborough STP",2020-02-01
"NMH01","NHS England East Of England","Norwich Practices Ltd",0,0,5137,5137,0,0,5137,5137,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Norfolk and Waveney Health & Care Partnership (STP)",2020-02-01
"Y02428","NHS England East Of England","Putnoe Medical Centre Walk In Centre",0,0,1902,1902,0,0,1902,1902,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Bedfordshire, Luton and Milton Keynes STP",2020-02-01
"RAJ","NHS England East Of England","Southend University Hospital NHS Foundation Trust",6739,0,1764,8503,4786,0,1722,6508,1953,0,42,1995,0.765376925790897,0.710194390859178,NA,0.976190476190476,2415,0,296,2711,936,3647,113,0,"Mid and South Essex STP",2020-02-01
"RQW","NHS England East Of England","The Princess Alexandra Hospital NHS Trust",8903,0,0,8903,6918,0,0,6918,1985,0,0,1985,0.777041446703358,0.777041446703358,NA,NA,2333,0,1,2334,535,2869,285,0,"Hertfordshire and West Essex STP",2020-02-01
"RCX","NHS England East Of England","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",5448,0,0,5448,4004,0,0,4004,1444,0,0,1444,0.734948604992658,0.734948604992658,NA,NA,2168,0,0,2168,840,3008,571,6,"Norfolk and Waveney Health & Care Partnership (STP)",2020-02-01
"RWG","NHS England East Of England","West Hertfordshire Hospitals NHS Trust",8596,0,4216,12812,6142,0,4196,10338,2454,0,20,2474,0.806899781454886,0.714518380642159,NA,0.995256166982922,3469,0,0,3469,579,4048,576,0,"Hertfordshire and West Essex STP",2020-02-01
"RGR","NHS England East Of England","West Suffolk NHS Foundation Trust",5890,0,279,6169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753,0,0,1753,632,2385,172,0,"Suffolk and North East Essex STP",2020-02-01
"RF4","NHS England London","Barking, Havering And Redbridge University Hospitals NHS Trust",14221,766,9184,24171,7402,751,8788,16941,6819,15,396,7230,0.70088122129825,0.520497855284438,0.980417754569191,0.956881533101045,4146,0,0,4146,531,4677,71,13,"East London Health & Care Partnership (STP)",2020-02-01
"R1H","NHS England London","Barts Health NHS Trust",23388,786,15913,40087,17356,786,15603,33745,6032,0,310,6342,0.841794097837204,0.742089960663588,1,0.980519072456482,8066,0,0,8066,1501,9567,505,4,"East London Health & Care Partnership (STP)",2020-02-01
"AD913","NHS England London","Beckenham Beacon Ucc",0,0,4363,4363,0,0,4325,4325,0,0,38,38,0.991290396516159,NA,NA,0.991290396516159,0,0,0,0,0,0,0,0,"Our Healthier South East London STP",2020-02-01
"RYX","NHS England London","Central London Community Healthcare NHS Trust",0,0,15799,15799,0,0,15476,15476,0,0,323,323,0.979555668080258,NA,NA,0.979555668080258,0,0,0,0,0,0,0,0,"North West London Health & Care Partnership (STP)",2020-02-01
"RQM","NHS England London","Chelsea And Westminster Hospital NHS Foundation Trust",18397,0,8587,26984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2611,0,0,2611,625,3236,74,0,"North West London Health & Care Partnership (STP)",2020-02-01
"RJ6","NHS England London","Croydon Health Services NHS Trust",7168,0,12136,19304,3649,0,11773,15422,3519,0,363,3882,0.79890178201409,0.509068080357143,NA,0.970088991430455,1617,0,0,1617,173,1790,693,12,"South West London Health & Care Partnership (STP)",2020-02-01
"RVR","NHS England London","Epsom And St Helier University Hospitals NHS Trust",12992,443,1228,14663,10436,443,1228,12107,2556,0,0,2556,0.825683693650685,0.80326354679803,1,1,3146,3,0,3149,195,3344,565,4,"South West London Health & Care Partnership (STP)",2020-02-01
"RJ1","NHS England London","Guy's And St Thomas' NHS Foundation Trust",12491,759,3619,16869,10087,759,3614,14460,2404,0,5,2409,0.857193668860039,0.807541429829477,1,0.998618402873722,3364,0,0,3364,746,4110,178,0,"Our Healthier South East London STP",2020-02-01
"Y03082","NHS England London","Harold Wood Wic",0,0,2888,2888,0,0,2635,2635,0,0,253,253,0.912396121883656,NA,NA,0.912396121883656,0,0,0,0,0,0,0,0,"East London Health & Care Partnership (STP)",2020-02-01
"NYM13","NHS England London","Hhcic East Wic",0,0,79,79,0,0,79,79,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"North West London Health & Care Partnership (STP)",2020-02-01
"RQX","NHS England London","Homerton University Hospital NHS Foundation Trust",10040,0,0,10040,9503,0,0,9503,537,0,0,537,0.946513944223108,0.946513944223108,NA,NA,1512,0,0,1512,183,1695,59,0,"East London Health & Care Partnership (STP)",2020-02-01
"RY9","NHS England London","Hounslow And Richmond Community Healthcare NHS Trust",0,0,4042,4042,0,0,4042,4042,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"South West London Health & Care Partnership (STP)",2020-02-01
"RYJ","NHS England London","Imperial College Healthcare NHS Trust",9717,3830,9607,23154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3072,12,0,3084,1138,4222,772,21,"North West London Health & Care Partnership (STP)",2020-02-01
"RJZ","NHS England London","King's College Hospital NHS Foundation Trust",14631,0,8297,22928,8924,0,7451,16375,5707,0,846,6553,0.714192254012561,0.609937803294375,NA,0.898035434494396,4004,0,0,4004,393,4397,1097,76,"Our Healthier South East London STP",2020-02-01
"Y02973","NHS England London","Kings Park Surgery",0,0,677,677,0,0,677,677,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"East London Health & Care Partnership (STP)",2020-02-01
"RAX","NHS England London","Kingston Hospital NHS Foundation Trust",6932,1089,2896,10917,5336,1089,2848,9273,1596,0,48,1644,0.849409178345699,0.769763416041546,1,0.983425414364641,2573,0,91,2664,494,3158,431,0,"South West London Health & Care Partnership (STP)",2020-02-01
"RJ2","NHS England London","Lewisham And Greenwich NHS Trust",12618,0,10942,23560,9220,0,10359,19579,3398,0,583,3981,0.831027164685908,0.73070217150103,NA,0.946719064156461,4345,0,0,4345,680,5025,621,58,"Our Healthier South East London STP",2020-02-01
"R1K","NHS England London","London North West University Healthcare NHS Trust",11170,0,16959,28129,7181,0,16519,23700,3989,0,440,4429,0.842546837783071,0.642882721575649,NA,0.974055074002005,5632,0,0,5632,1515,7147,1247,1,"North West London Health & Care Partnership (STP)",2020-02-01
"RP6","NHS England London","Moorfields Eye Hospital NHS Foundation Trust",0,7036,0,7036,0,7027,0,7027,0,9,0,9,0.998720864127345,NA,0.998720864127345,NA,0,20,0,20,168,188,0,0,"North London Partners In Health & Care (STP)",2020-02-01
"RAT","NHS England London","North East London NHS Foundation Trust",0,0,4199,4199,0,0,4162,4162,0,0,37,37,0.991188378185282,NA,NA,0.991188378185282,0,0,0,0,0,0,0,0,"East London Health & Care Partnership (STP)",2020-02-01
"RAP","NHS England London","North Middlesex University Hospital NHS Trust",8270,430,6335,15035,5491,430,6121,12042,2779,0,214,2993,0.800931160625208,0.663966142684401,1,0.966219415943173,2667,0,0,2667,400,3067,901,2,"North London Partners In Health & Care (STP)",2020-02-01
"RT3","NHS England London","Royal Brompton & Harefield NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,296,296,0,0,"North West London Health & Care Partnership (STP)",2020-02-01
"RAL","NHS England London","Royal Free London NHS Foundation Trust",19830,0,3910,23740,15846,0,3908,19754,3984,0,2,3986,0.832097725358045,0.799092284417549,NA,0.999488491048593,4047,0,0,4047,1034,5081,965,59,"North London Partners In Health & Care (STP)",2020-02-01
"RAN","NHS England London","Royal National Orthopaedic Hospital NHS Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,24,24,0,0,"North London Partners In Health & Care (STP)",2020-02-01
"RJ7","NHS England London","St George's University Hospitals NHS Foundation Trust",12399,0,1327,13726,10009,0,1327,11336,2390,0,0,2390,0.825877895963864,0.807242519558029,NA,1,3249,0,0,3249,929,4178,437,23,"South West London Health & Care Partnership (STP)",2020-02-01
"RAS","NHS England London","The Hillingdon Hospitals NHS Foundation Trust",5279,0,7901,13180,3124,0,7682,10806,2155,0,219,2374,0.819878603945372,0.591778745974616,NA,0.972281989621567,1690,0,0,1690,374,2064,749,10,"North West London Health & Care Partnership (STP)",2020-02-01
"Y03094","NHS England London","The Junction Hc - Unregistered Patients",0,0,2959,2959,0,0,2959,2959,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"South West London Health & Care Partnership (STP)",2020-02-01
"Y03218","NHS England London","The Pinn Unregistered Wic",0,0,4083,4083,0,0,4083,4083,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"North West London Health & Care Partnership (STP)",2020-02-01
"RRV","NHS England London","University College London Hospitals NHS Foundation Trust",11983,0,0,11983,9632,0,0,9632,2351,0,0,2351,0.803805390970542,0.803805390970542,NA,NA,2095,0,0,2095,349,2444,411,8,"North London Partners In Health & Care (STP)",2020-02-01
"Y02147","NHS England London","Urgent Care Centre (Qms)",0,0,8424,8424,0,0,8059,8059,0,0,365,365,0.956671415004748,NA,NA,0.956671415004748,0,0,0,0,0,0,0,0,"Our Healthier South East London STP",2020-02-01
"RKE","NHS England London","Whittington Health NHS Trust",8732,0,0,8732,7266,0,0,7266,1466,0,0,1466,0.832111772789739,0.832111772789739,NA,NA,1154,0,0,1154,94,1248,366,11,"North London Partners In Health & Care (STP)",2020-02-01
"NJS05","NHS England Midlands","Loughborough Urgent Care Centre",0,0,4538,4538,0,0,4426,4426,0,0,112,112,0.975319524019392,NA,NA,0.975319524019392,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"Y03571","NHS England Midlands","Corby Urgent Care Centre",0,0,7098,7098,0,0,7094,7094,0,0,4,4,0.999436460974923,NA,NA,0.999436460974923,0,0,0,0,0,0,0,0,"Northamptonshire STP",2020-02-01
"RNQ","NHS England Midlands","Kettering General Hospital NHS Foundation Trust",7111,0,0,7111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2290,0,0,2290,415,2705,683,0,"Northamptonshire STP",2020-02-01
"C82038","NHS England Midlands","Latham House Medical Practice",0,0,262,262,0,0,262,262,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"RY5","NHS England Midlands","Lincolnshire Community Health Services NHS Trust",0,0,9708,9708,0,0,9471,9471,0,0,237,237,0.975587144622991,NA,NA,0.975587144622991,4,1,0,5,0,5,0,0,"Lincolnshire STP",2020-02-01
"NNJ0H","NHS England Midlands","Llr Ea - The Merlyn Vaz Health & Social Care Centre",0,0,2141,2141,0,0,2141,2141,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"NNJ12","NHS England Midlands","Market Harborough",0,0,614,614,0,0,614,614,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"C82009","NHS England Midlands","Market Harborough Med.Ctr",0,0,320,320,0,0,320,320,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"NNJ13","NHS England Midlands","Melton Mowbray",0,0,406,406,0,0,406,406,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"RNS","NHS England Midlands","Northampton General Hospital NHS Trust",8294,1034,1274,10602,5507,1019,1266,7792,2787,15,8,2810,0.734955668741747,0.663973957077405,0.985493230174081,0.993720565149137,2327,0,0,2327,1113,3440,703,0,"Northamptonshire STP",2020-02-01
"NNJ14","NHS England Midlands","Oadby",0,0,2508,2508,0,0,2508,2508,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"NNJ15","NHS England Midlands","Oakham",0,0,332,332,0,0,332,332,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"C82010","NHS England Midlands","Oakham Medical Practice",0,0,247,247,0,0,247,247,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Leicester, Leicestershire and Rutland STP",2020-02-01
"C83023","NHS England Midlands","Sleaford Medical Group",0,0,612,612,0,0,612,612,0,0,0,0,1,NA,NA,1,0,0,0,0,8,8,0,0,"Lincolnshire STP",2020-02-01
"RWD","NHS England Midlands","United Lincolnshire Hospitals NHS Trust",11342,0,4376,15718,6378,0,4335,10713,4964,0,41,5005,0.681575264028502,0.562334685240698,NA,0.99063071297989,3829,0,0,3829,1045,4874,1377,1,"Lincolnshire STP",2020-02-01
"RWE","NHS England Midlands","University Hospitals Of Leicester NHS Trust",18226,1536,0,19762,11706,1498,0,13204,6520,38,0,6558,0.668150996862666,0.642269285635905,0.975260416666667,NA,4721,5,0,4726,3216,7942,1832,9,"Leicester, Leicestershire and Rutland STP",2020-02-01
"RFS","NHS England Midlands","Chesterfield Royal Hospital NHS Foundation Trust",5604,0,1617,7221,3897,0,1616,5513,1707,0,1,1708,0.763467663758482,0.695396145610278,NA,0.999381570810142,2159,0,0,2159,848,3007,337,1,"Joined Up Care Derbyshire STP",2020-02-01
"RY8","NHS England Midlands","Derbyshire Community Health Services NHS Foundation Trust",0,0,5880,5880,0,0,5880,5880,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Joined Up Care Derbyshire STP",2020-02-01
"NNJ","NHS England Midlands","Dhu Health Care C.I.C",0,0,1727,1727,0,0,1727,1727,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Joined Up Care Derbyshire STP",2020-02-01
"NR3","NHS England Midlands","Nottingham Citycare Partnership",0,0,4814,4814,0,0,4799,4799,0,0,15,15,0.996884088076444,NA,NA,0.996884088076444,0,0,0,0,0,0,0,0,"Nottingham and Nottinghamshire Health and Care STP",2020-02-01
"RX1","NHS England Midlands","Nottingham University Hospitals NHS Trust",14897,1680,211,16788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4063,0,0,4063,2766,6829,1713,78,"Nottingham and Nottinghamshire Health and Care STP",2020-02-01
"RK5","NHS England Midlands","Sherwood Forest Hospitals NHS Foundation Trust",8572,0,4120,12692,7324,0,4045,11369,1248,0,75,1323,0.895761109360227,0.854409706019599,NA,0.981796116504854,3144,0,14,3158,393,3551,279,1,"Nottingham and Nottinghamshire Health and Care STP",2020-02-01
"RXW","NHS England Midlands","Shrewsbury And Telford Hospital NHS Trust",9102,0,1843,10945,5121,0,1796,6917,3981,0,47,4028,0.631978072179077,0.562623599208965,NA,0.974498100922409,2281,0,54,2335,2064,4399,1572,187,"Shropshire and Telford and Wrekin STP",2020-02-01
"R1D","NHS England Midlands","Shropshire Community Health NHS Trust",0,0,2202,2202,0,0,2200,2200,0,0,2,2,0.999091734786558,NA,NA,0.999091734786558,0,0,0,0,22,22,0,0,"Shropshire and Telford and Wrekin STP",2020-02-01
"RL1","NHS England Midlands","The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,23,23,0,0,"Shropshire and Telford and Wrekin STP",2020-02-01
"RTG","NHS England Midlands","University Hospitals Of Derby And Burton NHS Foundation Trust",15873,0,9930,25803,9448,0,9912,19360,6425,0,18,6443,0.75030035267217,0.595224595224595,NA,0.998187311178248,4789,0,86,4875,1778,6653,720,3,"Joined Up Care Derbyshire STP",2020-02-01
"RJE","NHS England Midlands","University Hospitals Of North Midlands NHS Trust",13799,425,6051,20275,9576,425,6021,16022,4223,0,30,4253,0.790234278668311,0.693963330676136,1,0.995042141794745,5553,0,0,5553,2524,8077,1164,0,"Staffordshire and Stoke On Trent STP",2020-02-01
"NL7","NHS England Midlands","Assura Vertis Urgent Care Centres (Birmingham)",0,0,5785,5785,0,0,5785,5785,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2020-02-01
"8J094","NHS England Midlands","Badger Ltd",0,0,2583,2583,0,0,2583,2583,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2020-02-01
"M85813","NHS England Midlands","Birmingham Wic",0,0,3211,3211,0,0,3211,3211,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2020-02-01
"RQ3","NHS England Midlands","Birmingham Women's And Children's NHS Foundation Trust",4675,0,0,4675,4112,0,0,4112,563,0,0,563,0.879572192513369,0.879572192513369,NA,NA,959,0,0,959,190,1149,0,0,"Birmingham and Solihull STP",2020-02-01
"RYG","NHS England Midlands","Coventry And Warwickshire Partnership NHS Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,12,12,48,60,0,0,"Coventry and Warwickshire STP",2020-02-01
"Y03007","NHS England Midlands","Erdington GP Health & Wellbeing Wic",0,0,2039,2039,0,0,2039,2039,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2020-02-01
"RLT","NHS England Midlands","George Eliot Hospital NHS Trust",6866,0,0,6866,5110,0,0,5110,1756,0,0,1756,0.74424701427323,0.74424701427323,NA,NA,1105,0,0,1105,64,1169,651,21,"Coventry and Warwickshire STP",2020-02-01
"RXK","NHS England Midlands","Sandwell And West Birmingham Hospitals NHS Trust",13420,1032,2915,17367,9025,1011,2903,12939,4395,21,12,4428,0.745033684574192,0.672503725782414,0.979651162790698,0.995883361921098,2998,25,0,3023,571,3594,678,0,"The Black Country and West Birmingham STP",2020-02-01
"Y02615","NHS England Midlands","South Birmingham GP Walk In Centre",0,0,6047,6047,0,0,6047,6047,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Birmingham and Solihull STP",2020-02-01
"RJC","NHS England Midlands","South Warwickshire NHS Foundation Trust",5738,0,568,6306,4917,0,568,5485,821,0,0,821,0.869806533460197,0.85691878703381,NA,1,1633,0,0,1633,297,1930,50,0,"Coventry and Warwickshire STP",2020-02-01
"Y02961","NHS England Midlands","Summerfield GP Surg & Urgent Care Centre",0,0,3326,3326,0,0,3326,3326,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"The Black Country and West Birmingham STP",2020-02-01
"RNA","NHS England Midlands","The Dudley Group NHS Foundation Trust",7922,0,6175,14097,5543,0,6116,11659,2379,0,59,2438,0.827055401858551,0.699697046200454,NA,0.990445344129555,2335,0,0,2335,969,3304,752,5,"The Black Country and West Birmingham STP",2020-02-01
"RL4","NHS England Midlands","The Royal Wolverhampton NHS Trust",11814,0,9047,20861,8491,0,8910,17401,3323,0,137,3460,0.834140261732419,0.718723548332487,NA,0.984856858627169,2749,0,0,2749,1047,3796,609,1,"The Black Country and West Birmingham STP",2020-02-01
"RRK","NHS England Midlands","University Hospitals Birmingham NHS Foundation Trust",29552,0,4732,34284,17760,0,4632,22392,11792,0,100,11892,0.653132656632832,0.600974553329724,NA,0.978867286559594,10238,0,1230,11468,3199,14667,4314,7,"Birmingham and Solihull STP",2020-02-01
"RKB","NHS England Midlands","University Hospitals Coventry And Warwickshire NHS Trust",11967,1913,6362,20242,8419,1910,6246,16575,3548,3,116,3667,0.818842011658927,0.703518007854934,0.998431782540512,0.981766740018862,4142,111,0,4253,543,4796,399,0,"Coventry and Warwickshire STP",2020-02-01
"RBK","NHS England Midlands","Walsall Healthcare NHS Trust",6774,0,3820,10594,4973,0,3820,8793,1801,0,0,1801,0.829998112138947,0.734130498966637,NA,1,2358,0,0,2358,760,3118,266,0,"The Black Country and West Birmingham STP",2020-02-01
"RWP","NHS England Midlands","Worcestershire Acute Hospitals NHS Trust",10034,0,4876,14910,6469,0,4873,11342,3565,0,3,3568,0.760697518443997,0.644707992824397,NA,0.999384741591468,3216,0,0,3216,1138,4354,1221,63,"Herefordshire and Worcestershire STP",2020-02-01
"RLQ","NHS England Midlands","Wye Valley NHS Trust",4892,0,0,4892,3573,0,0,3573,1319,0,0,1319,0.730376124284546,0.730376124284546,NA,NA,1471,0,0,1471,237,1708,95,2,"Herefordshire and Worcestershire STP",2020-02-01
"RXP","NHS England North East And Yorkshire","County Durham And Darlington NHS Foundation Trust",10898,0,5159,16057,6578,0,5159,11737,4320,0,0,4320,0.730958460484524,0.603596990273445,NA,1,3478,0,0,3478,1228,4706,1332,1,"Cumbria and North East STP",2020-02-01
"RR7","NHS England North East And Yorkshire","Gateshead Health NHS Foundation Trust",7305,0,2323,9628,6101,0,2317,8418,1204,0,6,1210,0.874324885749896,0.835181382614647,NA,0.99741713301765,1616,0,0,1616,306,1922,302,0,"Cumbria and North East STP",2020-02-01
"RNN","NHS England North East And Yorkshire","North Cumbria Integrated Care NHS Foundation Trust",7143,0,1317,8460,5472,0,1316,6788,1671,0,1,1672,0.802364066193853,0.766064678706426,NA,0.999240698557327,2033,0,0,2033,732,2765,495,15,"Cumbria and North East STP",2020-02-01
"RVW","NHS England North East And Yorkshire","North Tees And Hartlepool NHS Foundation Trust",3484,0,10168,13652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,0,549,1845,1935,3780,21,0,"Cumbria and North East STP",2020-02-01
"RTF","NHS England North East And Yorkshire","Northumbria Healthcare NHS Foundation Trust",8030,0,8510,16540,7445,0,8467,15912,585,0,43,628,0.962031438935913,0.927148194271482,NA,0.994947121034078,4840,0,25,4865,797,5662,0,0,"Cumbria and North East STP",2020-02-01
"RTR","NHS England North East And Yorkshire","South Tees Hospitals NHS Foundation Trust",8519,0,3919,12438,6406,0,3915,10321,2113,0,4,2117,0.829795787104036,0.751966193215166,NA,0.998979331462108,1918,0,119,2037,2214,4251,733,5,"Cumbria and North East STP",2020-02-01
"R0B","NHS England North East And Yorkshire","South Tyneside And Sunderland NHS Foundation Trust",11940,1861,5645,19446,8563,1829,5506,15898,3377,32,139,3548,0.817546024889437,0.717169179229481,0.982804943578721,0.975376439326838,4230,21,0,4251,870,5121,283,0,"Cumbria and North East STP",2020-02-01
